AGE_CK95_Ma	AGE_GTS04_Ma	DSDP_ODP_SITE	LATITUDE	LONGITUDE	REFERENCE	SAMPLE	MBSF	MCD	GENUS	SPECIES	RAW_d13C	RAW_d18O	d13C_CORRECTION	d18O_CORRECTION	CORRECTED_d13C	CORRECTED_d18O
null	0.87000	1143	9.362	113.285	Cheng et al. (2004a)	"5H-6, 50-52"	41.900	46.140	Globigerinoides	G. ruber	0.230	-4.060	0.940	0.000	1.170	-4.060
null	3.75400	1143	9.362	113.285	Cheng et al. (2004a)	"16H-6, 10-12"	147.000	156.580	Globigerinoides	G. ruber	0.810	-3.600	0.940	0.000	1.750	-3.600
null	3.56900	1143	9.362	113.285	Cheng et al. (2004a)	"16H-2, 50-52"	141.400	150.980	Globigerinoides	G. ruber	1.000	-3.590	0.940	0.000	1.940	-3.590
null	3.81900	1143	9.362	113.285	Cheng et al. (2004a)	"17H-3, 10-12"	151.000	159.820	Globigerinoides	G. ruber	1.590	-3.510	0.940	0.000	2.530	-3.510
null	3.57600	1143	9.362	113.285	Cheng et al. (2004a)	"16H-2, 70-72"	141.600	151.180	Globigerinoides	G. ruber	1.320	-3.490	0.940	0.000	2.260	-3.490
null	2.20500	1143	9.362	113.285	Cheng et al. (2004a)	"11H-4, 140-142"	96.800	103.900	Globigerinoides	G. ruber	1.540	-3.450	0.940	0.000	2.480	-3.450
null	3.70400	1143	9.362	113.285	Cheng et al. (2004a)	"16H-5, 10-12"	145.500	155.080	Globigerinoides	G. ruber	0.980	-3.440	0.940	0.000	1.920	-3.440
null	3.61000	1143	9.362	113.285	Cheng et al. (2004a)	"16H-3, 40-42"	142.800	152.380	Globigerinoides	G. ruber	0.340	-3.430	0.940	0.000	1.280	-3.430
null	4.51200	1143	9.362	113.285	Cheng et al. (2004a)	"18H-6, 100-102"	165.500	173.790	Globigerinoides	G. ruber	0.890	-3.420	0.940	0.000	1.830	-3.420
null	2.82900	1143	9.362	113.285	Cheng et al. (2004a)	"14H-1, 130-132"	121.700	130.360	Globigerinoides	G. ruber	1.040	-3.390	0.940	0.000	1.980	-3.390
null	4.47000	1143	9.362	113.285	Cheng et al. (2004a)	"18H-6, 20-22"	164.700	172.990	Globigerinoides	G. ruber	0.900	-3.370	0.940	0.000	1.840	-3.370
null	3.61600	1143	9.362	113.285	Cheng et al. (2004a)	"16H-3, 60-62"	143.000	152.580	Globigerinoides	G. ruber	0.820	-3.330	0.940	0.000	1.760	-3.330
null	0.12400	1143	9.362	113.285	Cheng et al. (2004a)	"1H-4, 40-42"	4.900	8.100	Globigerinoides	G. ruber	0.160	-3.320	0.940	0.000	1.100	-3.320
null	3.36700	1143	9.362	113.285	Cheng et al. (2004a)	"15H-5, 80-82"	136.700	145.040	Globigerinoides	G. ruber	0.990	-3.320	0.940	0.000	1.930	-3.320
null	3.81600	1143	9.362	113.285	Cheng et al. (2004a)	"17H-2, 130-132"	150.700	159.520	Globigerinoides	G. ruber	1.170	-3.320	0.940	0.000	2.110	-3.320
4.22700	4.23500	1147/1148	18.835	116.555	Cheng et al. (2004b)	"1H-1, 90-92"	160.390	172.610	Globigerinoides	G. sacculifer	1.537	-2.996	0.590	-0.320	2.127	-3.316
2.32000	2.31900	1147/1148	18.835	116.555	Cheng et al. (2004b)	"1H-1, 90-92"	129.410	134.610	Globigerinoides	G. ruber	0.440	-3.300	0.940	0.000	1.380	-3.300
null	3.67300	1143	9.362	113.285	Cheng et al. (2004a)	"16H-4, 80-82"	144.700	154.280	Globigerinoides	G. ruber	0.770	-3.300	0.940	0.000	1.710	-3.300
null	2.62300	1143	9.362	113.285	Cheng et al. (2004a)	"13H-3, 80-82"	113.700	121.500	Globigerinoides	G. ruber	1.210	-3.300	0.940	0.000	2.150	-3.300
null	3.72600	1143	9.362	113.285	Cheng et al. (2004a)	"16H-5, 80-82"	146.200	155.780	Globigerinoides	G. ruber	1.610	-3.300	0.940	0.000	2.550	-3.300
4.65600	4.66500	1147/1148	18.835	116.555	Cheng et al. (2004b)	"1H-1, 90-92"	165.060	177.280	Globigerinoides	G. sacculifer	1.345	-2.978	0.590	-0.320	1.935	-3.298
null	0.29400	1143	9.362	113.285	Cheng et al. (2004a)	"2H-5, 40-42"	15.800	19.200	Globigerinoides	G. ruber	0.610	-3.290	0.940	0.000	1.550	-3.290
null	2.21200	1143	9.362	113.285	Cheng et al. (2004a)	"11H-5, 70-72"	97.600	104.700	Globigerinoides	G. ruber	1.310	-3.280	0.940	0.000	2.250	-3.280
null	1.18100	1143	9.362	113.285	Cheng et al. (2004a)	"6H-7, 0-2"	53.400	58.860	Globigerinoides	G. ruber	0.840	-3.270	0.940	0.000	1.780	-3.270
null	3.65600	1143	9.362	113.285	Cheng et al. (2004a)	"16H-4, 40-42"	144.300	153.880	Globigerinoides	G. ruber	0.890	-3.270	0.940	0.000	1.830	-3.270
null	2.53400	1143	9.362	113.285	Cheng et al. (2004a)	"12H-6, 100-102"	109.900	117.840	Globigerinoides	G. ruber	1.630	-3.270	0.940	0.000	2.570	-3.270
