/* DATA DESCRIPTION:
Citation:	Dickens, GR; Backman, J (2013): (Table S7) Reported, corrected and composite depths for Gamma Ray Attentuation Porosity Evaluator (GRAPE) data at DSDP Hole 86-577B. doi:10.1594/PANGAEA.809123, 
	In Supplement to: Dickens, Gerald Roy; Backman, Jan (2013): Core alignment and composite depth scale for the lower Paleogene through uppermost Cretaceous interval at Deep Sea Drilling Project Site 577. Newsletters on Stratigraphy
Project(s):	Deep Sea Drilling Project (DSDP) (URI: http://www.deepseadrilling.org/)
Coverage:	LATITUDE: 32.441300 * LONGITUDE: 157.723200
	MINIMUM DEPTH, sediment/rock: 104.4 m * MAXIMUM DEPTH, sediment/rock: 113.4 m
Event(s):	86-577B * LATITUDE: 32.441300 * LONGITUDE: 157.723200 * DATE/TIME: 1982-05-23T00:00:00 * ELEVATION: -2675.0 m * RECOVERY: 9.60 m * PENETRATION: 113.90 m * LOCATION: North Pacific * CAMPAIGN: Leg86 (URI: doi:10.2973/dsdp.proc.86.1985) * BASIS: Glomar Challenger (URI: http://odp.pangaea.de/glomar.html) * DEVICE: Drilling * COMMENT: 1 cores; 9.5 m cored; 0 m drilled; 101.4 % recovery
Comment:	DEPTH, sediment is the reported depth [mbsf], measured after sliding core sections to 150 cm.
Parameter(s):	Sample code/label (Label) * PI: Dickens, Gerald Roy (eMail: jerry@rice.edu) * METHOD: ODP sample designation (URI: hdl:10013/epic.27914.d001)
	DEPTH, sediment/rock [m] (Depth) * Geocode
	Void correction [m] (Void corr) * PI: Dickens, Gerald Roy (eMail: jerry@rice.edu)
	Depth, sediment revised [m] (Depth revised) * PI: Dickens, Gerald Roy (eMail: jerry@rice.edu) * COMMENT: corrected depths [mbsf] after moving tops of core sections back to 0 cm
	Offset [m] (Offset) * PI: Dickens, Gerald Roy (eMail: jerry@rice.edu)
	Depth, composite [mcd] (Depth c) * PI: Dickens, Gerald Roy (eMail: jerry@rice.edu) * COMMENT: after adding core offsets (Table 2)
	Density, wet bulk [g/cm**3] (WBD) * PI: Dickens, Gerald Roy (eMail: jerry@rice.edu) * METHOD: Gamma-ray attenuation porosity evaluator (GRAPE) * COMMENT: GRAPE data reported as density (g/cm**3), although it is a proxy measurement for density
	Density, wet bulk [g/cm**3] (WBD) * PI: Dickens, Gerald Roy (eMail: jerry@rice.edu) * METHOD: Gamma-ray attenuation porosity evaluator (GRAPE) * COMMENT: problematic GRAPE data, typically caused by void space in core sections
License:	Creative Commons Attribution 3.0 Unported (CC-BY)
Size:	4865 data points
*/
Label	Depth [m]	Void corr [m]	Depth revised [m]	Offset [m]	Depth c [mcd]	WBD [g/cm**3] (GRAPE data reported as densit...)	WBD [g/cm**3] (problematic GRAPE data, typic...)
86-577B-1-1,1.1	104.41	0.00	104.41	2.15	106.56		
86-577B-1-1,2.3	104.42	0.00	104.42	2.15	106.57		0.00
86-577B-1-1,3.4	104.43	0.00	104.43	2.15	106.58		1.29
86-577B-1-1,4.6	104.45	0.00	104.45	2.15	106.60		0.00
86-577B-1-1,5.7	104.46	0.00	104.46	2.15	106.61		1.30
86-577B-1-1,6.9	104.47	0.00	104.47	2.15	106.62		0.00
86-577B-1-1,8	104.48	0.00	104.48	2.15	106.63		0.00
86-577B-1-1,9.1	104.49	0.00	104.49	2.15	106.64		0.00
86-577B-1-1,10.3	104.50	0.00	104.50	2.15	106.65		2.09
86-577B-1-1,11.4	104.51	0.00	104.51	2.15	106.66		0.00
86-577B-1-1,12.6	104.53	0.00	104.53	2.15	106.68		0.00
86-577B-1-1,13.7	104.54	0.00	104.54	2.15	106.69		2.03
86-577B-1-1,14.8	104.55	0.00	104.55	2.15	106.70		0.00
86-577B-1-1,16	104.56	0.00	104.56	2.15	106.71		0.00
86-577B-1-1,17.1	104.57	0.00	104.57	2.15	106.72		0.00
86-577B-1-1,18.3	104.58	0.00	104.58	2.15	106.73		0.00
86-577B-1-1,19.4	104.59	0.00	104.59	2.15	106.74		0.00
86-577B-1-1,20.6	104.61	0.00	104.61	2.15	106.76		3.70
86-577B-1-1,21.7	104.62	0.00	104.62	2.15	106.77	1.68	
86-577B-1-1,22.8	104.63	0.00	104.63	2.15	106.78	1.68	
86-577B-1-1,24	104.64	0.00	104.64	2.15	106.79	1.73	
86-577B-1-1,25.1	104.65	0.00	104.65	2.15	106.80	1.67	
86-577B-1-1,26.3	104.66	0.00	104.66	2.15	106.81	1.66	
86-577B-1-1,27.4	104.67	0.00	104.67	2.15	106.82	1.68	
86-577B-1-1,28.6	104.69	0.00	104.69	2.15	106.84	1.67	
86-577B-1-1,29.7	104.70	0.00	104.70	2.15	106.85	1.64	
86-577B-1-1,30.8	104.71	0.00	104.71	2.15	106.86	1.69	
86-577B-1-1,32	104.72	0.00	104.72	2.15	106.87	1.65	
86-577B-1-1,33.1	104.73	0.00	104.73	2.15	106.88	1.68	
86-577B-1-1,34.3	104.74	0.00	104.74	2.15	106.89	1.70	
86-577B-1-1,35.4	104.75	0.00	104.75	2.15	106.90	1.66	
86-577B-1-1,36.5	104.77	0.00	104.77	2.15	106.92	1.66	
86-577B-1-1,37.7	104.78	0.00	104.78	2.15	106.93	1.63	
86-577B-1-1,38.8	104.79	0.00	104.79	2.15	106.94	1.72	
86-577B-1-1,40	104.80	0.00	104.80	2.15	106.95	1.63	
86-577B-1-1,41.1	104.81	0.00	104.81	2.15	106.96	1.72	
