/* DATA DESCRIPTION:
Citation:	Dickens, GR; Backman, J (2013): (Table S11) Recalibrated depth and ages for previously published stable isotope data from DSDP Hole 86-577. doi:10.1594/PANGAEA.809200, 
	In Supplement to: Dickens, Gerald Roy; Backman, Jan (2013): Core alignment and composite depth scale for the lower Paleogene through uppermost Cretaceous interval at Deep Sea Drilling Project Site 577. Newsletters on Stratigraphy
Related to:	Cramer, Benjamin S; Wright, James D; Kent, Dennis V; Aubry, Marie-Pierre (2003): Orbital climate forcing of d13C excursions in the late Paleocene-early Eocene (chrons C24n-C25n). Paleoceanography, 18(4), 1097, doi:10.1029/2003PA000909
	Westerhold, Thomas; Röhl, Ursula; Laskar, Jacques (2012): Time scale controversy: Accurate orbital calibration of early Paleogene. Geochemistry Geophysics Geosystems, 13, Q06015, doi:10.1029/2012GC004096
	Westerhold, Thomas; Röhl, Ursula; Raffi, Isabella; Fornaciari, Eliana; Monechi, Simonetta; Reale, Viviana; Bowles, Julie; Evans, Helen F (2008): Astronomical calibration of the Paleocene time. Palaeogeography, Palaeoclimatology, Palaeoecology, 257(4), 377-403, doi:10.1016/j.palaeo.2007.09.016
Project(s):	Deep Sea Drilling Project (DSDP) (URI: http://www.deepseadrilling.org/)
Coverage:	LATITUDE: 32.441800 * LONGITUDE: 157.723300
	MINIMUM DEPTH, sediment/rock: 74.6 m * MAXIMUM DEPTH, sediment/rock: 88.0 m
Event(s):	86-577 * LATITUDE: 32.441800 * LONGITUDE: 157.723300 * DATE/TIME: 1982-05-23T00:00:00 * ELEVATION: -2675.0 m * RECOVERY: 111.10 m * PENETRATION: 118.80 m * LOCATION: North Pacific * CAMPAIGN: Leg86 (URI: doi:10.2973/dsdp.proc.86.1985) * BASIS: Glomar Challenger (URI: http://odp.pangaea.de/glomar.html) * DEVICE: Drilling * COMMENT: 13 cores; 118.8 m cored; 0 m drilled; 93.5 % recovery
Comment:	Placement of previously published bulk and benthic foraminifera stable carbon isotope data for Upper Cretaceous and Lower Paleogene sediment at DSDP Site 577 according to composite depth scale and an updated time scale (Westerhold et al., 2008, 2012). Isotope data were reported by Cramer et al. (2003), dataset doi:10.1594/PANGAEA.741861. DEPTH, sediment is the depth [mbsf] reported by Cramer et al. (2003). Note that depths for CC samples are not consistent with core logs.
Parameter(s):	Sample code/label (Label) * PI: Dickens, Gerald Roy (eMail: jerry@rice.edu) * METHOD: ODP sample designation (URI: hdl:10013/epic.27914.d001) * COMMENT: we have relabled core catcher (CC) samples as an additional section for purposes of math; given in brackets
	DEPTH, sediment/rock [m] (Depth) * Geocode
	Depth, top/min [m] (Depth top) * PI: Dickens, Gerald Roy (eMail: jerry@rice.edu) * COMMENT: core top [mbsf], reported according to drillers table (Shipboard Scientific Party, 1985) and with positions of CC intervals from core logs
	Void correction [m] (Void corr) * PI: Dickens, Gerald Roy (eMail: jerry@rice.edu)
	Depth, sediment revised [m] (Depth revised) * PI: Dickens, Gerald Roy (eMail: jerry@rice.edu) * COMMENT: corrected [mbsf], assuming average interval distance and the above
	Offset [m] (Offset) * PI: Dickens, Gerald Roy (eMail: jerry@rice.edu) * COMMENT: offset of cores from Table 2
	Depth, composite [mcd] (Depth c) * PI: Dickens, Gerald Roy (eMail: jerry@rice.edu) * COMMENT: adjusted, the depth of the sample in floating depth space [mcd] relative to m below seafloor
	delta 13C, carbonate [per mil PDB] (d13C carb) * PI: Cramer, Benjamin S
	delta 18O, carbonate [per mil PDB] (d18O carb) * PI: Cramer, Benjamin S
	Age, relative [ka] (Age rel) * PI: Cramer, Benjamin S * COMMENT: reported age relative to start of PETM reported by Cramer et al. (2003)
	Age model [ka] (Age model) * PI: Dickens, Gerald Roy (eMail: jerry@rice.edu) * COMMENT: estimated age on Option 1 time by Westerhold et al. (2008) as determined by linear sedimentaton between six polarity chron reversals and data on a mcd depth scale
	Age, relative [ka] (Age rel) * PI: Dickens, Gerald Roy (eMail: jerry@rice.edu) * COMMENT: estimated age relative to start of PETM using information in this paper
	Comment (Comment) * PI: Dickens, Gerald Roy (eMail: jerry@rice.edu) * COMMENT: Blue horizons are approximate positions of polarity chron reversals; green horizons are positions of known hyperthermal events. Note that ages given for hyperthermals differ from those estimated, which may reflect inaccurate ages for the hyperthermals or differential sedimentation between chosen polarity chrons.
License:	Creative Commons Attribution 3.0 Unported (CC-BY)
Size:	6140 data points
*/
Label	Depth [m]	Depth top [m]	Void corr [m]	Depth revised [m]	Offset [m]	Depth c [mcd]	d13C carb [per mil PDB]	d18O carb [per mil PDB]	Age rel [ka] (reported age relative to star...)	Age model [ka]	Age rel [ka] (estimated age relative to sta...)	Comment
86-577-9-1,127-128	74.57	73.3	0.00	74.57	0.0	74.57	1.46	-0.40	3060	51980	3730	
86-577-9-1,133-134	74.63	73.3	0.00	74.63	0.0	74.63	1.37	-0.12	3050	52000	3710	
86-577-9-1,141-142	74.71	73.3	0.00	74.71	0.0	74.71	1.36	-0.33	3020	52030	3680	
86-577-9-1,148-149	74.78	73.3	0.00	74.78	0.0	74.78	1.37	-0.27	3000	52050	3660	
86-577-9-2,7-8	74.77	73.3	0.00	74.87	0.0	74.87	1.42	-0.37	3010	52080	3630	
86-577-9-2,16-17	74.86	73.3	0.00	74.96	0.0	74.96	1.44	-0.35	2980	52110	3600	
86-577-9-2,25-26	74.95	73.3	0.00	75.05	0.0	75.05	1.50	-0.24	2950	52140	3570	
86-577-9-2,34-35	75.04	73.3	0.00	75.14	0.0	75.14	1.47	-0.36	2930	52170	3540	
86-577-9-2,40-41	75.10	73.3	0.00	75.20	0.0	75.20	1.43	-0.17	2910	52190	3520	
86-577-9-2,41-42	75.11	73.3	0.00	75.21	0.0	75.21	1.48	-0.33	2910	52200	3510	
86-577-9-2,43-44	75.13	73.3	0.00	75.23	0.0	75.23	1.45	-0.46	2900	52200	3510	
86-577-9-2,44-45	75.14	73.3	0.00	75.24	0.0	75.24	1.43	-0.33	2900	52210	3500	
86-577-9-2,46-47	75.16	73.3	0.00	75.26	0.0	75.26	1.34	-0.31	2890	52210	3500	
86-577-9-2,47-48	75.17	73.3	0.00	75.27	0.0	75.27	1.49	-0.24	2890	52220	3490	
86-577-9-2,50-51	75.20	73.3	0.00	75.30	0.0	75.30	1.42	-0.34	2880	52230	3480	
86-577-9-2,51-52	75.21	73.3	0.00	75.31	0.0	75.31	1.39	-0.67	2880	52230	3480	
86-577-9-2,53-54	75.23	73.3	0.00	75.33	0.0	75.33	1.35	-0.35	2870	52240	3470	
86-577-9-2,55-56	75.25	73.3	0.00	75.35	0.0	75.35	1.32	-0.30	2870	52240	3470	
86-577-9-2,56-57	75.26	73.3	0.00	75.36	0.0	75.36	1.37	-0.22	2860	52250	3460	
86-577-9-2,58-59	75.28	73.3	0.00	75.38	0.0	75.38	1.34	-0.40	2860	52250	3460	
86-577-9-2,60-61	75.30	73.3	0.00	75.40	0.0	75.40	1.30	-0.42	2850	52260	3450	
86-577-9-2,61-62	75.31	73.3	0.00	75.41	0.0	75.41	1.32	-0.32	2850	52260	3450	
86-577-9-2,63-64	75.33	73.3	0.00	75.43	0.0	75.43	1.31	-0.28	2840	52270	3440	
86-577-9-2,65-66	75.35	73.3	0.00	75.45	0.0	75.45	1.33	-0.18	2840	52280	3430	
86-577-9-2,66-67	75.36	73.3	0.00	75.46	0.0	75.46	1.38	-0.38	2840	52280	3430	
86-577-9-2,68-69	75.38	73.3	0.00	75.48	0.0	75.48	1.40	-0.38	2830	52290	3420	
86-577-9-2,70-71	75.40	73.3	0.00	75.50	0.0	75.50	1.32	-0.25	2820	52290	3420	
86-577-9-2,71-72	75.41	73.3	0.00	75.51	0.0	75.51	1.37	-0.42	2820	52300	3410	
86-577-9-2,73-74	75.43	73.3	0.00	75.53	0.0	75.53	1.29	-0.21	2820	52300	3410	
86-577-9-2,74-75	75.44	73.3	0.00	75.54	0.0	75.54	1.19	-0.18	2810	52310	3400	
86-577-9-2,76-77	75.46	73.3	0.00	75.56	0.0	75.56	1.31	-0.25	2810	52310	3400	
86-577-9-2,77-78	75.47	73.3	0.00	75.57	0.0	75.57	1.39	-0.39	2800	52320	3390	
86-577-9-2,78-79	75.48	73.3	0.00	75.58	0.0	75.58	1.40	-0.44	2800	52320	3390	
86-577-9-2,80-81	75.50	73.3	0.00	75.60	0.0	75.60	1.21	-0.20	2800	52330	3380	
86-577-9-2,81-82	75.51	73.3	0.00	75.61	0.0	75.61	1.18	-0.17	2790	52330	3380	
86-577-9-2,82-83	75.52	73.3	0.00	75.62	0.0	75.62	1.18	-0.29	2790	52330	3380	
86-577-9-2,84-85	75.54	73.3	0.00	75.64	0.0	75.64	1.34	-0.57	2780	52340	3370	
86-577-9-2,85-86	75.55	73.3	0.00	75.65	0.0	75.65	1.32	-0.44	2780	52340	3370	
86-577-9-2,87-88	75.57	73.3	0.00	75.67	0.0	75.67	1.35	-0.37	2780	52350	3360	
86-577-9-2,88-89	75.58	73.3	0.00	75.68	0.0	75.68	1.22	-0.40	2770	52350	3360	
86-577-9-2,90-91	75.60	73.3	0.00	75.70	0.0	75.70	1.30	-0.35	2770	52360	3350	Top C24n.1n, 52.36 Ma
86-577-9-2,92-93	75.62	73.3	0.00	75.72	0.0	75.72	1.36	-0.28	2760	52370	3340	
86-577-9-2,93-94	75.63	73.3	0.00	75.73	0.0	75.73	1.39	-0.33	2760	52370	3340	
86-577-9-2,95-96	75.65	73.3	0.00	75.75	0.0	75.75	1.31	-0.33	2750	52380	3330	
86-577-9-2,97-98	75.67	73.3	0.00	75.77	0.0	75.77	1.32	-0.35	2750	52390	3320	
86-577-9-2,97-98	75.67	73.3	0.00	75.77	0.0	75.77	1.29	-0.35	2750	52390	3320	
86-577-9-2,99-100	75.69	73.3	0.00	75.79	0.0	75.79	1.29	-0.42	2740	52390	3320	
86-577-9-2,99-100	75.69	73.3	0.00	75.79	0.0	75.79	1.28	-0.08	2740	52390	3320	
86-577-9-2,101-102	75.71	73.3	0.00	75.81	0.0	75.81	1.28	-0.22	2740	52400	3310	
86-577-9-2,101-102	75.71	73.3	0.00	75.81	0.0	75.81	1.29	-0.15	2740	52400	3310	
86-577-9-2,103-104	75.73	73.3	0.00	75.83	0.0	75.83	1.27	-0.29	2730	52410	3300	
86-577-9-2,104-105	75.74	73.3	0.00	75.84	0.0	75.84	1.27	-0.13	2730	52410	3300	
86-577-9-2,106-107	75.76	73.3	0.00	75.86	0.0	75.86	1.25	-0.18	2720	52420	3290	
86-577-9-2,108-109	75.78	73.3	0.00	75.88	0.0	75.88	1.31	-0.32	2720	52430	3280	
86-577-9-2,110-111	75.80	73.3	0.00	75.90	0.0	75.90	1.28	-0.24	2710	52440	3270	
86-577-9-2,112-113	75.82	73.3	0.00	75.92	0.0	75.92	1.31	-0.54	2700	52440	3270	
86-577-9-2,114-115	75.84	73.3	0.00	75.94	0.0	75.94	1.31	-0.26	2700	52450	3260	
86-577-9-2,116-117	75.86	73.3	0.00	75.96	0.0	75.96	1.16	-0.22	2690	52460	3250	
86-577-9-2,117-118	75.87	73.3	0.00	75.97	0.0	75.97	1.30	-0.29	2690	52460	3250	
86-577-9-2,119-120	75.89	73.3	0.00	75.99	0.0	75.99	1.19	-0.17	2680	52470	3240	
86-577-9-2,121-122	75.91	73.3	0.00	76.01	0.0	76.01	1.20	-0.19	2680	52480	3230	
86-577-9-2,123-124	75.93	73.3	0.00	76.03	0.0	76.03	1.13	-0.32	2670	52490	3220	
86-577-9-2,124-125	75.94	73.3	0.00	76.04	0.0	76.04	1.13	-0.28	2670	52490	3220	
86-577-9-2,126-127	75.96	73.3	0.00	76.06	0.0	76.06	1.03	-0.27	2660	52500	3210	
86-577-9-2,128-129	75.98	73.3	0.00	76.08	0.0	76.08	0.99	-0.25	2660	52510	3200	
86-577-9-2,130-131	76.00	73.3	0.00	76.10	0.0	76.10	1.14	-0.29	2650	52510	3200	
86-577-9-2,131-132	76.01	73.3	0.00	76.11	0.0	76.11	1.17	-0.29	2650	52520	3190	
86-577-9-2,133-134	76.03	73.3	0.00	76.13	0.0	76.13	1.17	-0.12	2640	52520	3190	
86-577-9-2,134-135	76.04	73.3	0.00	76.14	0.0	76.14	1.03	-0.16	2640	52530	3180	
86-577-9-2,136-137	76.06	73.3	0.00	76.16	0.0	76.16	1.01	-0.31	2630	52540	3170	
86-577-9-2,137-138	76.07	73.3	0.00	76.17	0.0	76.17	1.23	-0.47	2630	52540	3170	
86-577-9-2,137-138	76.07	73.3	0.00	76.17	0.0	76.17	0.78	-0.32	2630	52540	3170	
86-577-9-2,139-140	76.09	73.3	0.00	76.19	0.0	76.19	1.25	-0.38	2630	52550	3160	
86-577-9-2,139-140	76.09	73.3	0.00	76.19	0.0	76.19	0.90	-0.41	2630	52550	3160	
86-577-9-2,140-141	76.10	73.3	0.00	76.20	0.0	76.20	0.88	-0.27	2620	52550	3160	
86-577-9-2,140-141	76.10	73.3	0.00	76.20	0.0	76.20	0.80	-0.53	2620	52550	3160	
86-577-9-2,141-142	76.11	73.3	0.00	76.21	0.0	76.21	0.79	-0.21	2620	52550	3160	
86-577-9-2,141-142	76.11	73.3	0.00	76.21	0.0	76.21	0.74	-0.55	2620	52550	3160	
86-577-9-2,142-143	76.12	73.3	0.00	76.22	0.0	76.22	1.24	-0.34	2620	52560	3150	
86-577-9-2,142-143	76.12	73.3	0.00	76.22	0.0	76.22	1.21	-0.18	2620	52560	3150	
86-577-9-2,144-145	76.14	73.3	0.00	76.24	0.0	76.24	0.80	-0.33	2610	52570	3140	
86-577-9-2,145-146	76.15	73.3	0.00	76.25	0.0	76.25	1.26	-0.14	2610	52570	3140	
86-577-9-2,145-146	76.15	73.3	0.00	76.25	0.0	76.25	1.08	-0.29	2610	52570	3140	
86-577-9-2,146-147	76.16	73.3	0.00	76.26	0.0	76.26	0.66	-0.77	2610	52570	3140	K/X, 52.5 Ma
86-577-9-2,147-148	76.17	73.3	0.00	76.27	0.0	76.27	0.67	-0.64	2600	52580	3130	
86-577-9-2,148-149	76.18	73.3	0.00	76.28	0.0	76.28	0.77	-0.63	2600	52580	3130	
86-577-9-2,149-150	76.19	73.3	0.00	76.29	0.0	76.29	0.79	-0.56	2600	52590	3120	
86-577-9-3,0-1	76.30	73.3	0.00	76.30	0.0	76.30	0.83	-0.63	2590	52590	3120	
86-577-9-3,2-3	76.32	73.3	0.00	76.32	0.0	76.32	0.73	-0.69	2590	52600	3110	
86-577-9-3,3-4	76.33	73.3	0.00	76.33	0.0	76.33	1.00	-0.51	2590	52600	3110	
86-577-9-3,4-5	76.34	73.3	0.00	76.34	0.0	76.34	1.01	-0.49	2580	52600	3110	
86-577-9-3,5-6	76.35	73.3	0.00	76.35	0.0	76.35	0.93	-0.54	2580	52610	3100	
86-577-9-3,6-7	76.36	73.3	0.00	76.36	0.0	76.36	1.11	-0.46	2580	52610	3100	
86-577-9-3,7-8	76.37	73.3	0.00	76.37	0.0	76.37	1.05	-0.57	2570	52620	3090	
86-577-9-3,9-10	76.39	73.3	0.00	76.39	0.0	76.39	1.16	-0.41	2570	52620	3090	
86-577-9-3,10-11	76.40	73.3	0.00	76.40	0.0	76.40	1.17	-0.35	2570	52630	3080	
86-577-9-3,11-12	76.41	73.3	0.00	76.41	0.0	76.41	1.16	-0.47	2560	52630	3080	
86-577-9-3,12-13	76.42	73.3	0.00	76.42	0.0	76.42	1.21	-0.32	2560	52640	3070	
86-577-9-3,13-14	76.43	73.3	0.00	76.43	0.0	76.43	1.05	-0.56	2560	52640	3070	
