/* DATA DESCRIPTION:
Citation:	Keigwin, LD; Corliss, BH (1986): (Appendix 1) Oxygen and carbon isotopic composition in foraminifera from DSDP Hole 26-253 sediments. doi:10.1594/PANGAEA.718950, 
	In Supplement to: Keigwin, Lloyd D; Corliss, Bruce H (1986): Stable isotopes in late middle Eocene to Oligocene foraminifera. Geological Society of America Bulletin, 97(3), 335-345, doi:10.1130/0016-7606(1986)97<335:SIILME>2.0.CO;2
Project(s):	Deep Sea Drilling Project (DSDP) (URI: http://www.deepseadrilling.org/)
Coverage:	LATITUDE: -24.877500 * LONGITUDE: 87.366200
	MINIMUM DEPTH, sediment: 95.5 m * MAXIMUM DEPTH, sediment: 148.4 m
Event(s):	26-253 * LATITUDE: -24.877500 * LONGITUDE: 87.366200 * DATE/TIME: 1972-10-01T00:00:00 * ELEVATION: -1962.0 m * RECOVERY: 269.50 m * PENETRATION: 559.00 m * LOCATION: Indian Ocean//RIDGE * CAMPAIGN: Leg26 (URI: doi:10.2973/dsdp.proc.26.1974) * BASIS: Glomar Challenger (URI: http://odp.pangaea.de/glomar.html) * DEVICE: Drilling * COMMENT: 52 cores; 479.5 m cored; 57 m drilled; 56.2 % recovery
Parameter(s):	DEPTH, sediment [m] (Depth) * Geocode
	Sample code/label (Label) * PI: Keigwin, Lloyd D * METHOD: ODP sample designation (URI: hdl:10013/epic.27914.d001)
	Oridorsalis tener, d18O [per mil PDB] (O. tener d18O) * PI: Keigwin, Lloyd D * METHOD: Isotope ratio mass spectrometry (URI: http://en.wikipedia.org/wiki/Isotope_ratio_mass_spectrometry)
	Oridorsalis tener, d13C [per mil PDB] (O. tener d13C) * PI: Keigwin, Lloyd D * METHOD: Isotope ratio mass spectrometry (URI: http://en.wikipedia.org/wiki/Isotope_ratio_mass_spectrometry)
	Cibicidoides ungerianus, d18O [per mil PDB] (C. ungerianus d18O) * PI: Keigwin, Lloyd D * METHOD: Isotope ratio mass spectrometry (URI: http://en.wikipedia.org/wiki/Isotope_ratio_mass_spectrometry)
	Cibicidoides ungerianus, d13C [per mil PDB] (C. ungerianus d13C) * PI: Keigwin, Lloyd D * METHOD: Isotope ratio mass spectrometry (URI: http://en.wikipedia.org/wiki/Isotope_ratio_mass_spectrometry)
	Globocassidulina subglobosa, d18O [per mil PDB] (G. subglobosa d18O) * PI: Keigwin, Lloyd D * METHOD: Isotope ratio mass spectrometry (URI: http://en.wikipedia.org/wiki/Isotope_ratio_mass_spectrometry)
	Globocassidulina subglobosa, d13C [per mil PDB] (G. subglobosa d13C) * PI: Keigwin, Lloyd D * METHOD: Isotope ratio mass spectrometry (URI: http://en.wikipedia.org/wiki/Isotope_ratio_mass_spectrometry)
	Chiloguembelina cubensis, d18O [per mil PDB] (C. cubensis d18O) * PI: Keigwin, Lloyd D * METHOD: Isotope ratio mass spectrometry (URI: http://en.wikipedia.org/wiki/Isotope_ratio_mass_spectrometry) * COMMENT: <124 µm
	Chiloguembelina cubensis, d13C [per mil PDB] (C. cubensis d13C) * PI: Keigwin, Lloyd D * METHOD: Isotope ratio mass spectrometry (URI: http://en.wikipedia.org/wiki/Isotope_ratio_mass_spectrometry) * COMMENT: <124 µm
	Pseudohastigerina spp., d18O [per mil PDB] (Pseudohastigerina d18O) * PI: Keigwin, Lloyd D * METHOD: Isotope ratio mass spectrometry (URI: http://en.wikipedia.org/wiki/Isotope_ratio_mass_spectrometry) * COMMENT: <124 µm
	Pseudohastigerina spp., d13C [per mil PDB] (Pseudohastigerina d13C) * PI: Keigwin, Lloyd D * METHOD: Isotope ratio mass spectrometry (URI: http://en.wikipedia.org/wiki/Isotope_ratio_mass_spectrometry) * COMMENT: <124 µm
	Pseudohastigerina spp., d18O [per mil PDB] (Pseudohastigerina d18O) * PI: Keigwin, Lloyd D * METHOD: Isotope ratio mass spectrometry (URI: http://en.wikipedia.org/wiki/Isotope_ratio_mass_spectrometry) * COMMENT: 124-180 µm
	Pseudohastigerina spp., d13C [per mil PDB] (Pseudohastigerina d13C) * PI: Keigwin, Lloyd D * METHOD: Isotope ratio mass spectrometry (URI: http://en.wikipedia.org/wiki/Isotope_ratio_mass_spectrometry) * COMMENT: 124-180 µm
	Globigerina ampliapertura, d18O [per mil PDB] (G. ampliapertura d18O) * PI: Keigwin, Lloyd D * METHOD: Isotope ratio mass spectrometry (URI: http://en.wikipedia.org/wiki/Isotope_ratio_mass_spectrometry) * COMMENT: 180-300 µm
	Globigerina ampliapertura, d13C [per mil PDB] (G. ampliapertura d13C) * PI: Keigwin, Lloyd D * METHOD: Isotope ratio mass spectrometry (URI: http://en.wikipedia.org/wiki/Isotope_ratio_mass_spectrometry) * COMMENT: 180-300 µm
	Globorotalia cerroazulensis, d18O [per mil PDB] (G. cerroazulensis d18O) * PI: Keigwin, Lloyd D * METHOD: Isotope ratio mass spectrometry (URI: http://en.wikipedia.org/wiki/Isotope_ratio_mass_spectrometry) * COMMENT: <180 µm
	Globorotalia cerroazulensis, d13C [per mil PDB] (G. cerroazulensis d13C) * PI: Keigwin, Lloyd D * METHOD: Isotope ratio mass spectrometry (URI: http://en.wikipedia.org/wiki/Isotope_ratio_mass_spectrometry) * COMMENT: <180 µm
	Subbotina cf. angiporoides, d18O [per mil PDB] (S. cf. angiporoides d18O) * PI: Keigwin, Lloyd D * METHOD: Isotope ratio mass spectrometry (URI: http://en.wikipedia.org/wiki/Isotope_ratio_mass_spectrometry) * COMMENT: 124-180 µm
	Subbotina cf. angiporoides, d13C [per mil PDB] (S. cf. angiporoides d13C) * PI: Keigwin, Lloyd D * METHOD: Isotope ratio mass spectrometry (URI: http://en.wikipedia.org/wiki/Isotope_ratio_mass_spectrometry) * COMMENT: 124-180 µm
	Hantkenina spp., d18O [per mil PDB] (Hantkenina d18O) * PI: Keigwin, Lloyd D * METHOD: Isotope ratio mass spectrometry (URI: http://en.wikipedia.org/wiki/Isotope_ratio_mass_spectrometry)
	Hantkenina spp., d13C [per mil PDB] (Hantkenina d13C) * PI: Keigwin, Lloyd D * METHOD: Isotope ratio mass spectrometry (URI: http://en.wikipedia.org/wiki/Isotope_ratio_mass_spectrometry)
	Subbotina linaperta, d18O [per mil PDB] (S. linaperta d18O) * PI: Keigwin, Lloyd D * METHOD: Isotope ratio mass spectrometry (URI: http://en.wikipedia.org/wiki/Isotope_ratio_mass_spectrometry) * COMMENT: 180-300 µm
	Subbotina linaperta, d13C [per mil PDB] (S. linaperta d13C) * PI: Keigwin, Lloyd D * METHOD: Isotope ratio mass spectrometry (URI: http://en.wikipedia.org/wiki/Isotope_ratio_mass_spectrometry) * COMMENT: 180-300 µm
License:	Creative Commons Attribution 3.0 Unported (CC-BY)
Size:	244 data points
*/
Depth [m]	Label	O. tener d18O [per mil PDB]	O. tener d13C [per mil PDB]	C. ungerianus d18O [per mil PDB]	C. ungerianus d13C [per mil PDB]	G. subglobosa d18O [per mil PDB]	G. subglobosa d13C [per mil PDB]	C. cubensis d18O [per mil PDB]	C. cubensis d13C [per mil PDB]	Pseudohastigerina d18O [per mil PDB] (<124 µm)	Pseudohastigerina d13C [per mil PDB] (<124 µm)	Pseudohastigerina d18O [per mil PDB] (124-180 µm)	Pseudohastigerina d13C [per mil PDB] (124-180 µm)	G. ampliapertura d18O [per mil PDB]	G. ampliapertura d13C [per mil PDB]	G. cerroazulensis d18O [per mil PDB]	G. cerroazulensis d13C [per mil PDB]	S. cf. angiporoides d18O [per mil PDB]	S. cf. angiporoides d13C [per mil PDB]	Hantkenina d18O [per mil PDB]	Hantkenina d13C [per mil PDB]	S. linaperta d18O [per mil PDB]	S. linaperta d13C [per mil PDB]
95.47	26-253-11-1,97	1.61	0.19	1.21	0.67																		
98.47	26-253-11-3,97	1.59	0.19	1.52	0.83																		
102.97	26-253-11-6,97	1.37	0.32	1.16	0.88	1.52	0.96																
109.89	26-253-12-4,139	1.61	0.60	1.31	1.15			0.96	1.39														
110.40	26-253-12-5,40	1.51	0.64	1.34	1.35			0.91	1.38														
111.15	26-253-12-5,115	1.57	0.62	1.37	1.30			1.09	1.44														
112.50	26-253-12-6,100	1.93	0.78	1.47	1.32			1.01	1.43	1.03	1.09			1.19	1.51								
113.50	26-253-12-CC	1.51	1.01	1.51	1.38			1.00	1.61	0.98	1.12			1.11	1.61								
113.50	26-253-12-CC	1.76	0.84																				
113.60	26-253-13-1,10	1.25	0.48					0.70	1.63					0.78	1.68								
114.70	26-253-13-1,120	1.14	0.76	1.11	1.30			0.53	1.59					0.79	1.62								
115.21	26-253-13-2,21	0.89	0.48	1.18	1.29			0.66	1.56	0.61	1.29			0.68	1.59								
115.21	26-253-13-2,21	1.23	0.55																				
116.25	26-253-13-2,125	1.03	0.35	1.07	0.92			0.67	1.31			0.51	1.25	1.03	1.58			0.95	1.36	0.39	1.71	0.69	1.3
116.25	26-253-13-2,125	0.93	0.30																				
116.80	26-253-13-3,30							0.50	1.37	0.45	1.29			0.60	1.22								
117.73	26-253-13-3,123							0.56	1.25														
118.60	26-253-13-4,60							0.55	1.39							0.45	1.36						
119.23	26-253-13-4,123	1.05	0.47	0.84	1.12			0.49	1.35														
120.10	26-253-13-5,60	0.90	0.49	0.88	1.20			0.49	1.40														
120.73	26-253-13-5,123	0.89	0.52	0.96	1.23			0.52	1.43														
121.47	26-253-13-6,47	1.13	0.65	0.86	1.16																		
122.17	26-253-13-6,117	0.94	0.70	0.88	1.23			0.52	1.48	0.57	1.40												
123.61	26-253-14-1,61	0.55	0.67	0.66	1.37			0.26	1.59														
124.17	26-253-14-1,117	0.55	0.53	0.67	1.24			0.37	1.50	0.39	1.38												
125.11	26-253-14-2,61	0.89	0.64			0.87	1.12	0.40	1.48														
125.50	26-253-14-2,100	0.92	0.91	0.67	1.33			0.41	1.59			0.48	1.54			0.58	1.45						
126.13	26-253-14-3,63			0.87	1.34			0.41	1.55							0.22	1.51						
127.22	26-253-14-3,122	0.95	0.54					0.46	1.40							0.49	1.39						
128.12	26-253-14-4,62			0.82	1.15			0.35	1.42														
128.72	26-253-14-4,122	0.66	0.52					0.40	1.56														
129.60	26-253-14-5,60	0.67	0.64	0.75	1.29			0.29	1.35														
130.22	26-253-14-5,122	1.02	0.61	0.68	1.26			0.37	1.41														
130.99	26-253-14-6,99	0.84	0.40																				
143.38	26-253-16-1,138	0.35	0.59																				
148.37	26-253-16-5,37	0.59	0.93																				
