/* DATA DESCRIPTION:
Citation:	Murphy, B et al. (2010): (Table S3) Helium isotopic data and He-based age model from ODP Site 208-1266B. doi:10.1594/PANGAEA.783077, 
	In Supplement to: Murphy, Brandon; Farley, Kenneth A; Zachos, James C (2010): An extraterrestrial 3He-based timescale for the Paleocene-Eocene thermal maximum (PETM) from Walvis Ridge, IODP Site 1266. Geochimica et Cosmochimica Acta, 74(17), 5098-5108, doi:10.1016/j.gca.2010.03.039
Project(s):	Ocean Drilling Program (ODP) (URI: http://www-odp.tamu.edu/)
Coverage:	LATITUDE: -28.542500 * LONGITUDE: 2.343500
	DATE/TIME START: 2003-04-17T18:00:00 * DATE/TIME END: 2003-04-18T20:50:00
	MINIMUM DEPTH, sediment/rock: 302.020 m * MAXIMUM DEPTH, sediment/rock: 308.540 m
Event(s):	208-1266B * LATITUDE: -28.542500 * LONGITUDE: 2.343500 * DATE/TIME START: 2003-04-17T18:00:00 * DATE/TIME END: 2003-04-18T20:50:00 * ELEVATION: -3796.6 m * Penetration: 321 m * Recovery: 110.43 m * LOCATION: Walvis Ridge, Southeast Atlantic Ocean * CAMPAIGN: Leg208 (URI: doi:10.2973/odp.proc.ir.208.2004) * BASIS: Joides Resolution (URI: http://www-odp.tamu.edu/resolutn.html) * DEVICE: Drilling/drill rig (DRILL) * COMMENT: 12 cores; 108.6 m cored; 212.4 m drilled; 101.7 % recovery
Comment:	Sediment depth is given in mcd.
Parameter(s):	DEPTH, sediment/rock [m] (Depth) * GEOCODE
	Sample code/label (Label) * PI: Murphy, Brandon * METHOD: ODP sample designation (URI: hdl:10013/epic.27914.d001)
	Comment (Comment) * PI: Murphy, Brandon
	Density, dry bulk [g/cm**3] (DBD) * PI: Murphy, Brandon * METHOD: Calculated * COMMENT: computed from GRAPE wet bulk density and the model of Herbert and Mayer 1991
	Fraction, non-carbonate [%] (NCF) * PI: Murphy, Brandon
	Helium-3 [10**-10 cm**3/g] (3He) * PI: Murphy, Brandon * COMMENT: typical uncertainty on these values is < 10% (2 sigma)
	Helium-3/Helium-4 [10**-4] (3He/4He) * PI: Murphy, Brandon * COMMENT: typical uncertainty on these values is < 10% (2 sigma)
	Helium-3 [10**-10 cm**3/g] (3He) * PI: Murphy, Brandon * COMMENT: 3He extraterrestrial; error conservitivly based on sample reproducability, due to low abundence of IDPs and range of terrestrial endmember
	Sedimentation rate [cm/ka] (Sed rate) * PI: Murphy, Brandon * COMMENT: estimates from 3He extraterrestrial; assumes an extraterrestrial 3He flux of 0.48 ± 0.08 pcc/cm2/kyr and the listed dry bulk density
	Sedimentation rate, standard deviation [±] (Sed rate std dev) * PI: Murphy, Brandon * COMMENT: estimates from 3He extraterrestrial; propagates uncertainty in 3He flux only; assumes uncertainty in 3He extraterrestrial fraction (due to terrestrial 3He/4He endmember ratio uncertainty) cancels
	Sedimentation rate [cm/ka] (Sed rate) * PI: Murphy, Brandon * COMMENT: smoothed minimum
	Sedimentation rate [cm/ka] (Sed rate) * PI: Murphy, Brandon * COMMENT: smoothed best
	Sedimentation rate [cm/ka] (Sed rate) * PI: Murphy, Brandon * COMMENT: smoothed maximum
	Thickness [m] (Thn) * PI: Murphy, Brandon
	Age, relative [ka] (Age rel) * PI: Murphy, Brandon * COMMENT: minimum, sum of durations of each interval, with base of the clay layer (306.78 mcd) defined as zero, minimum use the LSR extrema in the previous columns
	Age, relative [ka] (Age rel) * PI: Murphy, Brandon * COMMENT: sum of durations of each interval, with base of the clay layer (306.78 mcd) defined as zero
	Age, relative [ka] (Age rel) * PI: Murphy, Brandon * COMMENT: maximum, sum of durations of each interval, with base of the clay layer (306.78 mcd) defined as zero, maximum use the LSR extrema in the previous columns
License:	Creative Commons Attribution 3.0 Unported (CC-BY)
Size:	1579 data points
*/
Depth [m]	Label	Comment	DBD [g/cm**3]	NCF [%]	3He [10**-10 cm**3/g] (typical uncertainty on these ...)	3He/4He [10**-4]	3He [10**-10 cm**3/g] (3He extraterrestrial; error c...)	Sed rate [cm/ka] (estimates from 3He extraterre...)	Sed rate std dev [±]	Sed rate [cm/ka] (smoothed minimum)	Sed rate [cm/ka] (smoothed best)	Sed rate [cm/ka] (smoothed maximum)	Thn [m]	Age rel [ka] (minimum, sum of durations of ...)	Age rel [ka] (sum of durations of each inte...)	Age rel [ka] (maximum, sum of durations of ...)
302.020	208-1266B-6H-4,142-143		1.55	12.98	0.000595	0.003351	0.0005576	4.272	0.723							
302.160	208-1266B-6-5,6-7	excluded outliers	1.54	10.18	0.010179	0.041394	0.0101282									
302.250	208-1266B-6H-5,15-16		1.46	7.55	0.000767	0.007186	0.0007450	3.396	0.574							
302.340	208-1266B-6-5,24-25	excluded outliers	1.53	13.06	0.038913	0.353183	0.0388924									
302.430	208-1266B-6H-5,33-35		1.58	10.93	0.001372	0.006258	0.0013000	1.767	0.299	2.202	2.650	3.098	0.090	283.506	331.463	398.948
302.520	208-1266B-6H-5,42-43		1.57	15.30	0.001352	0.004510	0.0012891	1.827	0.309	1.732	2.085	2.438	0.090	280.601	328.066	394.860
302.610	208-1266B-6H-5,51-52		1.52	8.70	0.001249	0.009260	0.0012207	1.988	0.336	1.404	1.690	1.976	0.090	276.909	323.750	389.665
302.700	208-1266B-6H-5,60-61		1.48	4.84	0.001732	0.031253	0.0017200	1.448	0.245	1.526	1.837	2.148	0.090	272.355	318.426	383.257
302.790	208-1266B-6H-5,69-70		1.51	5.03	0.001736	0.021535	0.0017195	1.423	0.241	1.451	1.747	2.042	0.090	268.164	313.526	377.360
302.880	208-1266B-6H-5,78-79		1.63	8.47	0.000937	0.006853	0.0009088	2.499	0.423	1.391	1.675	1.958	0.090	263.757	308.374	371.158
302.970	208-1266B-6H-5,87-88		1.55	10.16	0.001768	0.010493	0.0017326	1.375	0.233	1.401	1.686	1.971	0.090	259.160	302.999	364.689
303.060	208-1266B-6H-5,96-97		1.56	8.21	0.001479	0.013603	0.0014563	1.627	0.275	1.382	1.663	1.945	0.090	254.593	297.660	358.263
303.150	208-1266B-6H-5,105-106		1.54	5.42	0.001608	0.021666	0.0015928	1.504	0.254	1.171	1.410	1.648	0.090	249.966	292.249	351.750
303.240	208-1266B-6H-5,114-115		1.52	6.31	0.001878	0.020254	0.0018584	1.311	0.222	1.601	1.927	2.253	0.090	244.505	285.864	344.066
303.330	208-1266B-6H-5,123-124		1.52	5.29	0.001986	0.026144	0.0019702	1.230	0.208	1.632	1.964	2.297	0.090	240.510	281.194	338.444
303.420	208-1266B-6H-5,132-133		1.50	5.27	0.000638	0.008754	0.0006225	3.962	0.670	1.743	2.097	2.452	0.090	236.591	276.612	332.930
303.510	208-1266B-6H-5,141-142		1.49	5.87	0.001385	0.015447	0.0013664	1.814	0.307	1.810	2.179	2.547	0.140	232.921	272.321	327.765
303.650	208-1266B-6H-6,5-6		1.62	6.50	0.001067	0.013047	0.0010502	2.169	0.367	1.853	2.230	2.607	0.090	227.425	265.896	320.032
303.740	208-1266B-6H-6,14-15		1.53	5.75	0.001422	0.015791	0.0014031	1.719	0.291	1.323	1.593	1.862	0.270	223.973	261.860	315.174
303.920	208-1266B-6-6,32-33	excluded outliers	1.52	4.23	0.002715	0.051203	0.0027043						0.000			
304.010	208-1266B-6H-6,41-42		1.59	6.00	0.001587	0.017875	0.0015684	1.486	0.251	1.296	1.559	1.823	0.090	209.472	244.906	294.768
304.100	208-1266B-6H-6,50-51		1.55	8.45	0.003105	0.018764	0.0030708	0.775	0.131	1.385	1.667	1.949	0.060	204.536	239.134	287.822
304.160	208-1266C-17H-2,1-2		1.57	6.77	0.001450	0.011866	0.0014246	1.649	0.279	1.503	1.809	2.115	0.030	201.457	235.535	283.489
304.190	208-1266B-6H-6,59-60		1.61	13.64	0.000872	0.007458	0.0008473	2.706	0.458	1.741	2.096	2.450	0.030	200.038	233.876	281.493
304.220	208-1266C-17H-2,7-8		1.52	4.90	0.001019	0.013728	0.0010033	2.431	0.411	1.827	2.199	2.571	0.060	198.814	232.445	279.770
304.280			1.50	4.47	0.000857	0.015329	0.0008000	2.918	0.494	2.124	2.557	2.989	0.030	196.480	229.716	276.486
304.310	208-1266C-17H-2,16-17		1.51	4.64	0.001910	0.032435	0.0018977	1.293	0.219	2.232	2.687	3.142	0.060	195.477	228.543	275.074
304.370			1.51	4.22	0.000726	0.013251	0.0007000	3.436	0.581	2.759	3.320	3.882	0.090	193.567	226.310	272.386
304.400	208-1266C-17H-2,25-26	excluded outliers	1.52	4.10	0.002650	0.049002	0.0026391						0.000			
304.460	208-1266C-17H-2,31-32		1.51	4.47	0.000743	0.009459	0.0007269	3.358	0.568	2.814	3.387	3.960	0.030	191.248	223.599	269.124
